wavelength,absorbance,drug_type
1494.0,0.885,Methadone
1498.0,0.893,Methadone
1502.0,0.896,Methadone
1506.0,0.901,Methadone
1510.0,0.905,Methadone
1514.0,0.909,Methadone
1518.0,0.912,Methadone
1522.0,0.916,Methadone
1526.0,0.919,Methadone
1530.0,0.923,Methadone
1534.0,0.926,Methadone
1538.0,0.928,Methadone
1542.0,0.928,Methadone
1546.0,0.93,Methadone
1550.0,0.93,Methadone
1554.0,0.93,Methadone
1558.0,0.93,Methadone
1562.0,0.928,Methadone
1566.0,0.928,Methadone
1570.0,0.928,Methadone
1574.0,0.93,Methadone
1578.0,0.93,Methadone
1582.0,0.93,Methadone
1586.0,0.93,Methadone
1590.0,0.93,Methadone
1594.0,0.93,Methadone
1598.0,0.93,Methadone
1602.0,0.93,Methadone
1606.0,0.93,Methadone
1610.0,0.93,Methadone
1614.0,0.928,Methadone
1618.0,0.926,Methadone
1622.0,0.926,Methadone
1626.0,0.926,Methadone
1630.0,0.925,Methadone
1634.0,0.925,Methadone
1638.0,0.925,Methadone
1642.0,0.923,Methadone
1646.0,0.923,Methadone
1650.0,0.923,Methadone
1654.0,0.921,Methadone
1658.0,0.921,Methadone
1662.0,0.919,Methadone
1666.0,0.919,Methadone
1670.0,0.919,Methadone
1674.0,0.919,Methadone
1678.0,0.919,Methadone
1682.0,0.919,Methadone
1686.0,0.919,Methadone
1690.0,0.919,Methadone
1694.0,0.919,Methadone
1698.0,0.919,Methadone
1702.0,0.919,Methadone
1706.0,0.921,Methadone
1710.0,0.921,Methadone
1714.0,0.921,Methadone
1718.0,0.921,Methadone
1722.0,0.921,Methadone
1726.0,0.923,Methadone
1730.0,0.925,Methadone
1734.0,0.925,Methadone
1738.0,0.925,Methadone
1742.0,0.925,Methadone
1746.0,0.926,Methadone
1750.0,0.926,Methadone
1754.0,0.928,Methadone
1758.0,0.928,Methadone
1762.0,0.93,Methadone
1766.0,0.932,Methadone
1770.0,0.935,Methadone
1774.0,0.937,Methadone
1778.0,0.939,Methadone
1782.0,0.942,Methadone
1786.0,0.944,Methadone
1790.0,0.946,Methadone
1794.0,0.948,Methadone
1798.0,0.95,Methadone
1802.0,0.95,Methadone
1806.0,0.951,Methadone
1810.0,0.953,Methadone
1814.0,0.953,Methadone
1818.0,0.953,Methadone
1822.0,0.951,Methadone
1826.0,0.951,Methadone
1830.0,0.951,Methadone
1834.0,0.95,Methadone
1838.0,0.948,Methadone
1842.0,0.948,Methadone
1846.0,0.948,Methadone
1850.0,0.946,Methadone
1854.0,0.944,Methadone
1858.0,0.942,Methadone
