wavelength,absorbance,drug_type
1410.0,271.0,Cocaine
1414.0,263.0,Cocaine
1418.0,269.0,Cocaine
1422.0,286.0,Cocaine
1426.0,329.0,Cocaine
1430.0,405.0,Cocaine
1434.0,547.0,Cocaine
1438.0,719.0,Cocaine
1442.0,830.0,Cocaine
1446.0,873.0,Cocaine
1450.0,949.0,Cocaine
1454.0,1057.0,Cocaine
1458.0,1023.0,Cocaine
1462.0,816.0,Cocaine
1466.0,641.0,Cocaine
1470.0,573.0,Cocaine
1474.0,570.0,Cocaine
1478.0,597.0,Cocaine
1482.0,580.0,Cocaine
1486.0,494.0,Cocaine
1490.0,395.0,Cocaine
1494.0,325.0,Cocaine
1498.0,279.0,Cocaine
1502.0,236.0,Cocaine
1506.0,201.0,Cocaine
1510.0,173.0,Cocaine
1514.0,157.0,Cocaine
1518.0,153.0,Cocaine
1522.0,150.0,Cocaine
1526.0,139.0,Cocaine
1530.0,134.0,Cocaine
1534.0,139.0,Cocaine
1538.0,137.0,Cocaine
1542.0,132.0,Cocaine
1546.0,130.0,Cocaine
1550.0,130.0,Cocaine
1554.0,128.0,Cocaine
1558.0,124.0,Cocaine
1562.0,119.0,Cocaine
1566.0,125.0,Cocaine
1570.0,133.0,Cocaine
1574.0,146.0,Cocaine
1578.0,167.0,Cocaine
1582.0,189.0,Cocaine
1586.0,206.0,Cocaine
1590.0,210.0,Cocaine
1594.0,204.0,Cocaine
1598.0,213.0,Cocaine
1602.0,244.0,Cocaine
1606.0,267.0,Cocaine
1610.0,251.0,Cocaine
1614.0,203.0,Cocaine
1618.0,157.0,Cocaine
1622.0,121.0,Cocaine
1626.0,114.0,Cocaine
1630.0,112.0,Cocaine
1634.0,108.0,Cocaine
1638.0,113.0,Cocaine
1642.0,127.0,Cocaine
1646.0,138.0,Cocaine
1650.0,139.0,Cocaine
1654.0,134.0,Cocaine
1658.0,127.0,Cocaine
1662.0,130.0,Cocaine
1666.0,141.0,Cocaine
1670.0,154.0,Cocaine
1674.0,173.0,Cocaine
1678.0,196.0,Cocaine
1682.0,224.0,Cocaine
1686.0,263.0,Cocaine
1690.0,313.0,Cocaine
1694.0,360.0,Cocaine
1698.0,409.0,Cocaine
1702.0,470.0,Cocaine
1706.0,552.0,Cocaine
1710.0,671.0,Cocaine
1714.0,857.0,Cocaine
1718.0,1111.0,Cocaine
1722.0,1509.0,Cocaine
1726.0,2196.0,Cocaine
1730.0,3329.0,Cocaine
1734.0,4682.0,Cocaine
1738.0,5531.0,Cocaine
1742.0,5419.0,Cocaine
1746.0,4572.0,Cocaine
1750.0,3504.0,Cocaine
1754.0,2633.0,Cocaine
1758.0,2236.0,Cocaine
1762.0,2325.0,Cocaine
1766.0,2743.0,Cocaine
1770.0,3052.0,Cocaine
1774.0,2722.0,Cocaine
1778.0,1902.0,Cocaine
1782.0,1209.0,Cocaine
1786.0,819.0,Cocaine
1790.0,620.0,Cocaine
1794.0,503.0,Cocaine
1798.0,412.0,Cocaine
1802.0,338.0,Cocaine
1806.0,295.0,Cocaine
1810.0,271.0,Cocaine
1814.0,252.0,Cocaine
1818.0,223.0,Cocaine
1822.0,190.0,Cocaine
1826.0,153.0,Cocaine
1830.0,125.0,Cocaine
1834.0,111.0,Cocaine
1838.0,100.0,Cocaine
1842.0,90.0,Cocaine
1846.0,84.0,Cocaine
1850.0,76.0,Cocaine
1854.0,71.0,Cocaine
1858.0,71.0,Cocaine
1862.0,71.0,Cocaine
1866.0,72.0,Cocaine
1870.0,68.0,Cocaine
1874.0,64.0,Cocaine
1878.0,62.0,Cocaine
1882.0,59.0,Cocaine
1886.0,57.0,Cocaine
1890.0,60.0,Cocaine
1894.0,62.0,Cocaine
1898.0,64.0,Cocaine
1902.0,71.0,Cocaine
1906.0,78.0,Cocaine
1910.0,87.0,Cocaine
1914.0,92.0,Cocaine
1918.0,91.0,Cocaine
1922.0,89.0,Cocaine
1926.0,87.0,Cocaine
1930.0,78.0,Cocaine
1934.0,64.0,Cocaine
1938.0,56.0,Cocaine
1942.0,57.0,Cocaine
1946.0,67.0,Cocaine
1950.0,77.0,Cocaine
1954.0,84.0,Cocaine
1958.0,89.0,Cocaine
1962.0,94.0,Cocaine
1966.0,97.0,Cocaine
1970.0,93.0,Cocaine
1974.0,85.0,Cocaine
1978.0,70.0,Cocaine
1982.0,60.0,Cocaine
1986.0,55.0,Cocaine
1990.0,52.0,Cocaine
1994.0,51.0,Cocaine
1998.0,50.0,Cocaine
2002.0,47.0,Cocaine
2006.0,46.0,Cocaine
2010.0,45.0,Cocaine
2014.0,44.0,Cocaine
2018.0,41.0,Cocaine
2022.0,38.0,Cocaine
2026.0,42.0,Cocaine
2030.0,43.0,Cocaine
2034.0,40.0,Cocaine
2038.0,40.0,Cocaine
2042.0,35.0,Cocaine
2046.0,31.0,Cocaine
2050.0,35.0,Cocaine
2054.0,37.0,Cocaine
2058.0,37.0,Cocaine
2062.0,35.0,Cocaine
2066.0,31.0,Cocaine
2070.0,32.0,Cocaine
2074.0,36.0,Cocaine
2078.0,38.0,Cocaine
2082.0,42.0,Cocaine
2086.0,43.0,Cocaine
2090.0,42.0,Cocaine
2094.0,41.0,Cocaine
2098.0,39.0,Cocaine
2102.0,42.0,Cocaine
2106.0,45.0,Cocaine
2110.0,43.0,Cocaine
2114.0,48.0,Cocaine
2118.0,52.0,Cocaine
2122.0,48.0,Cocaine
2126.0,44.0,Cocaine
2130.0,44.0,Cocaine
2134.0,43.0,Cocaine
2138.0,34.0,Cocaine
2142.0,27.0,Cocaine
2146.0,25.0,Cocaine
2150.0,27.0,Cocaine
2154.0,23.0,Cocaine
2158.0,20.0,Cocaine
2162.0,27.0,Cocaine
2166.0,34.0,Cocaine
2170.0,32.0,Cocaine
2174.0,26.0,Cocaine
2178.0,24.0,Cocaine
2182.0,24.0,Cocaine
2186.0,16.0,Cocaine
2190.0,14.0,Cocaine
2194.0,25.0,Cocaine
2198.0,27.0,Cocaine
2202.0,22.0,Cocaine
2206.0,21.0,Cocaine
2210.0,22.0,Cocaine
2214.0,21.0,Cocaine
2218.0,20.0,Cocaine
2222.0,16.0,Cocaine
2226.0,17.0,Cocaine
2230.0,24.0,Cocaine
2234.0,20.0,Cocaine
2238.0,15.0,Cocaine
2242.0,14.0,Cocaine
2246.0,18.0,Cocaine
2250.0,24.0,Cocaine
2254.0,20.0,Cocaine
2258.0,16.0,Cocaine
2262.0,14.0,Cocaine
2266.0,13.0,Cocaine
2270.0,11.0,Cocaine
2274.0,11.0,Cocaine
2278.0,14.0,Cocaine
2282.0,17.0,Cocaine
2286.0,21.0,Cocaine
2290.0,20.0,Cocaine
2294.0,16.0,Cocaine
2298.0,12.0,Cocaine
2302.0,13.0,Cocaine
2306.0,11.0,Cocaine
2310.0,12.0,Cocaine
2314.0,17.0,Cocaine
2318.0,18.0,Cocaine
2322.0,22.0,Cocaine
2326.0,23.0,Cocaine
2330.0,20.0,Cocaine
2334.0,24.0,Cocaine
2338.0,29.0,Cocaine
2342.0,29.0,Cocaine
2346.0,27.0,Cocaine
2350.0,28.0,Cocaine
2354.0,31.0,Cocaine
2358.0,33.0,Cocaine
2362.0,34.0,Cocaine
2366.0,37.0,Cocaine
2370.0,37.0,Cocaine
2374.0,35.0,Cocaine
2378.0,36.0,Cocaine
2382.0,34.0,Cocaine
2386.0,26.0,Cocaine
2390.0,18.0,Cocaine
2394.0,16.0,Cocaine
2398.0,20.0,Cocaine
2402.0,16.0,Cocaine
2406.0,11.0,Cocaine
2410.0,13.0,Cocaine
2414.0,12.0,Cocaine
2418.0,9.0,Cocaine
2422.0,9.0,Cocaine
2426.0,11.0,Cocaine
2430.0,13.0,Cocaine
2434.0,11.0,Cocaine
2438.0,8.0,Cocaine
2442.0,8.0,Cocaine
2446.0,7.0,Cocaine
2450.0,6.0,Cocaine
2454.0,11.0,Cocaine
2458.0,11.0,Cocaine
2462.0,8.0,Cocaine
2466.0,8.0,Cocaine
2470.0,10.0,Cocaine
2474.0,9.0,Cocaine
2478.0,5.0,Cocaine
2482.0,2.0,Cocaine
2486.0,0.0,Cocaine
2490.0,6.0,Cocaine
2494.0,6.0,Cocaine
2498.0,6.0,Cocaine
2502.0,10.0,Cocaine
2506.0,9.0,Cocaine
2510.0,5.0,Cocaine
2514.0,4.0,Cocaine
2518.0,4.0,Cocaine
2522.0,11.0,Cocaine
2526.0,11.0,Cocaine
2530.0,10.0,Cocaine
2534.0,11.0,Cocaine
2538.0,12.0,Cocaine
2542.0,12.0,Cocaine
2546.0,12.0,Cocaine
2550.0,15.0,Cocaine
2554.0,13.0,Cocaine
2558.0,12.0,Cocaine
2562.0,16.0,Cocaine
2566.0,14.0,Cocaine
2570.0,16.0,Cocaine
2574.0,18.0,Cocaine
2578.0,21.0,Cocaine
2582.0,23.0,Cocaine
2586.0,28.0,Cocaine
2590.0,25.0,Cocaine
2594.0,20.0,Cocaine
2598.0,22.0,Cocaine
2602.0,25.0,Cocaine
2606.0,30.0,Cocaine
2610.0,26.0,Cocaine
2614.0,22.0,Cocaine
2618.0,22.0,Cocaine
2622.0,26.0,Cocaine
2626.0,31.0,Cocaine
2630.0,28.0,Cocaine
2634.0,26.0,Cocaine
2638.0,31.0,Cocaine
2642.0,29.0,Cocaine
2646.0,26.0,Cocaine
2650.0,26.0,Cocaine
2654.0,24.0,Cocaine
2658.0,23.0,Cocaine
2662.0,25.0,Cocaine
2666.0,31.0,Cocaine
2670.0,29.0,Cocaine
2674.0,27.0,Cocaine
2678.0,30.0,Cocaine
2682.0,35.0,Cocaine
2686.0,36.0,Cocaine
2690.0,33.0,Cocaine
2694.0,32.0,Cocaine
2698.0,31.0,Cocaine
2702.0,31.0,Cocaine
2706.0,33.0,Cocaine
2710.0,36.0,Cocaine
2714.0,39.0,Cocaine
2718.0,41.0,Cocaine
2722.0,43.0,Cocaine
2726.0,50.0,Cocaine
2730.0,54.0,Cocaine
2734.0,57.0,Cocaine
2738.0,64.0,Cocaine
2742.0,62.0,Cocaine
2746.0,57.0,Cocaine
2750.0,66.0,Cocaine
2754.0,75.0,Cocaine
2758.0,88.0,Cocaine
2762.0,106.0,Cocaine
2766.0,125.0,Cocaine
2770.0,149.0,Cocaine
2774.0,173.0,Cocaine
2778.0,191.0,Cocaine
2782.0,189.0,Cocaine
2786.0,186.0,Cocaine
2790.0,200.0,Cocaine
2794.0,237.0,Cocaine
2798.0,316.0,Cocaine
2802.0,449.0,Cocaine
2806.0,602.0,Cocaine
2810.0,670.0,Cocaine
2814.0,590.0,Cocaine
2818.0,440.0,Cocaine
2822.0,325.0,Cocaine
2826.0,260.0,Cocaine
2830.0,228.0,Cocaine
