wavelength,normalized_absorbance,drug_type
554.0,0.029860799281544628,heroin
558.0,0.029860799281544628,heroin
562.0,0.029860799281544628,heroin
566.0,0.029860799281544628,heroin
570.0,0.029748540637629065,heroin
574.0,0.029748540637629065,heroin
578.0,0.029748540637629065,heroin
582.0,0.029636281993713487,heroin
586.0,0.029636281993713487,heroin
590.0,0.029524023349797923,heroin
594.0,0.029524023349797923,heroin
598.0,0.02941176470588236,heroin
602.0,0.02941176470588236,heroin
606.0,0.029299506061966782,heroin
610.0,0.029299506061966782,heroin
614.0,0.029299506061966782,heroin
618.0,0.029187247418051218,heroin
622.0,0.029187247418051218,heroin
626.0,0.029187247418051218,heroin
630.0,0.029187247418051218,heroin
634.0,0.02907498877413564,heroin
638.0,0.02907498877413564,heroin
642.0,0.02907498877413564,heroin
646.0,0.02907498877413564,heroin
650.0,0.02907498877413564,heroin
654.0,0.02907498877413564,heroin
658.0,0.028850471486304388,heroin
662.0,0.028850471486304388,heroin
666.0,0.02873821284238881,heroin
670.0,0.02873821284238881,heroin
674.0,0.02873821284238881,heroin
678.0,0.02873821284238881,heroin
682.0,0.02851369555455767,heroin
686.0,0.02851369555455767,heroin
690.0,0.02851369555455767,heroin
694.0,0.028401436910642106,heroin
698.0,0.028401436910642106,heroin
702.0,0.028401436910642106,heroin
706.0,0.028401436910642106,heroin
710.0,0.028289178266726542,heroin
714.0,0.028289178266726542,heroin
718.0,0.028289178266726542,heroin
722.0,0.028289178266726542,heroin
726.0,0.0280646609788954,heroin
730.0,0.0280646609788954,heroin
734.0,0.027952402334979837,heroin
738.0,0.027952402334979837,heroin
742.0,0.027952402334979837,heroin
746.0,0.027952402334979837,heroin
750.0,0.027952402334979837,heroin
754.0,0.027952402334979837,heroin
758.0,0.02772788504714857,heroin
762.0,0.02772788504714857,heroin
766.0,0.02772788504714857,heroin
770.0,0.027615626403232993,heroin
774.0,0.027615626403232993,heroin
778.0,0.027615626403232993,heroin
782.0,0.02750336775931743,heroin
786.0,0.02750336775931743,heroin
790.0,0.027391109115401865,heroin
794.0,0.027391109115401865,heroin
798.0,0.027278850471486288,heroin
802.0,0.027278850471486288,heroin
806.0,0.027166591827570724,heroin
810.0,0.027166591827570724,heroin
814.0,0.027166591827570724,heroin
818.0,0.027166591827570724,heroin
822.0,0.027166591827570724,heroin
826.0,0.027166591827570724,heroin
830.0,0.027166591827570724,heroin
834.0,0.027166591827570724,heroin
838.0,0.027166591827570724,heroin
842.0,0.027166591827570724,heroin
846.0,0.027166591827570724,heroin
850.0,0.027166591827570724,heroin
854.0,0.027166591827570724,heroin
858.0,0.027054333183655146,heroin
862.0,0.027054333183655146,heroin
866.0,0.027054333183655146,heroin
870.0,0.027054333183655146,heroin
874.0,0.027054333183655146,heroin
878.0,0.027054333183655146,heroin
882.0,0.026942074539739583,heroin
886.0,0.026942074539739583,heroin
890.0,0.026942074539739583,heroin
894.0,0.026942074539739583,heroin
898.0,0.026942074539739583,heroin
902.0,0.026942074539739583,heroin
906.0,0.02682981589582402,heroin
910.0,0.02682981589582402,heroin
914.0,0.02682981589582402,heroin
918.0,0.02682981589582402,heroin
922.0,0.02682981589582402,heroin
926.0,0.02682981589582402,heroin
930.0,0.02671755725190844,heroin
934.0,0.02671755725190844,heroin
938.0,0.02671755725190844,heroin
942.0,0.02671755725190844,heroin
946.0,0.02671755725190844,heroin
950.0,0.02671755725190844,heroin
954.0,0.026605298607992753,heroin
958.0,0.026605298607992753,heroin
962.0,0.026605298607992753,heroin
966.0,0.026605298607992753,heroin
970.0,0.026605298607992753,heroin
974.0,0.026605298607992753,heroin
