wavelength,normalized_absorbance,drug_type
554.0,0.034199726402188664,methadone
558.0,0.034199726402188664,methadone
562.0,0.034199726402188664,methadone
566.0,0.034199726402188664,methadone
570.0,0.034199726402188664,methadone
574.0,0.034199726402188664,methadone
578.0,0.03146374829001356,methadone
582.0,0.03146374829001356,methadone
586.0,0.03146374829001356,methadone
590.0,0.03146374829001356,methadone
594.0,0.03146374829001356,methadone
598.0,0.03146374829001356,methadone
602.0,0.03146374829001356,methadone
606.0,0.02872777017783846,methadone
610.0,0.02872777017783846,methadone
614.0,0.02872777017783846,methadone
618.0,0.03146374829001356,methadone
622.0,0.03146374829001356,methadone
626.0,0.03146374829001356,methadone
630.0,0.03556771545827622,methadone
634.0,0.038303693570451325,methadone
638.0,0.038303693570451325,methadone
642.0,0.038303693570451325,methadone
646.0,0.038303693570451325,methadone
650.0,0.038303693570451325,methadone
654.0,0.03556771545827622,methadone
658.0,0.034199726402188664,methadone
662.0,0.03556771545827622,methadone
666.0,0.04103967168262643,methadone
670.0,0.04103967168262643,methadone
674.0,0.04103967168262643,methadone
678.0,0.04103967168262643,methadone
682.0,0.04103967168262643,methadone
686.0,0.04103967168262643,methadone
690.0,0.04103967168262643,methadone
694.0,0.04103967168262643,methadone
698.0,0.04103967168262643,methadone
702.0,0.04103967168262643,methadone
706.0,0.04377564979480154,methadone
710.0,0.04377564979480154,methadone
714.0,0.04377564979480154,methadone
718.0,0.04651162790697664,methadone
722.0,0.04651162790697664,methadone
726.0,0.0478796169630642,methadone
730.0,0.0506155950752393,methadone
734.0,0.05608755129958951,methadone
738.0,0.05608755129958951,methadone
742.0,0.057455540355677064,methadone
746.0,0.057455540355677064,methadone
750.0,0.057455540355677064,methadone
754.0,0.05608755129958951,methadone
758.0,0.0533515731874144,methadone
762.0,0.0533515731874144,methadone
766.0,0.0533515731874144,methadone
770.0,0.0506155950752393,methadone
774.0,0.0506155950752393,methadone
778.0,0.0533515731874144,methadone
782.0,0.05608755129958951,methadone
786.0,0.05608755129958951,methadone
790.0,0.05608755129958951,methadone
794.0,0.05608755129958951,methadone
798.0,0.05608755129958951,methadone
802.0,0.057455540355677064,methadone
806.0,0.057455540355677064,methadone
810.0,0.057455540355677064,methadone
814.0,0.057455540355677064,methadone
818.0,0.057455540355677064,methadone
822.0,0.057455540355677064,methadone
826.0,0.057455540355677064,methadone
830.0,0.057455540355677064,methadone
834.0,0.057455540355677064,methadone
838.0,0.057455540355677064,methadone
842.0,0.06019151846785217,methadone
846.0,0.057455540355677064,methadone
850.0,0.057455540355677064,methadone
854.0,0.057455540355677064,methadone
858.0,0.05608755129958951,methadone
862.0,0.0533515731874144,methadone
866.0,0.0506155950752393,methadone
